Nationality,Refusal_Rate,ISO3,name_short,iso_num
AFGHANISTAN,0.6325,AFG,Afghanistan,004
ALBANIA,0.3732,ALB,Albania,008
ALGERIA,0.5123,DZA,Algeria,012
ANDORRA,0.0909,AND,Andorra,020
ANGOLA,0.5433,AGO,Angola,024
ANTIGUA AND BARBUDA,0.3889,ATG,Antigua and Barbuda,028
ARGENTINA,0.0747,ARG,Argentina,032
ARMENIA,0.5637,ARM,Armenia,051
AUSTRALIA,0.2293,AUS,Australia,036
AUSTRIA,0.0892,AUT,Austria,040
AZERBAIJAN,0.2091,AZE,Azerbaijan,031
"BAHAMAS, THE",0.1446,BHS,Bahamas,044
BAHRAIN,0.2401,BHR,Bahrain,048
BANGLADESH,0.6145,BGD,Bangladesh,050
BARBADOS,0.18460000000000001,BRB,Barbados,052
BELARUS,0.2658,BLR,Belarus,112
BELGIUM,0.128,BEL,Belgium,056
BELIZE,0.3232,BLZ,Belize,084
BENIN,0.6457999999999999,BEN,Benin,204
BHUTAN,0.5603,BTN,Bhutan,064
BOLIVIA,0.2983,BOL,Bolivia,068
BOSNIA-HERZEGOVINA,0.1489,BIH,Bosnia and Herzegovina,070
BOTSWANA,0.38439999999999996,BWA,Botswana,072
BRAZIL,0.1487,BRA,Brazil,076
BRUNEI,0.0833,BRN,Brunei Darussalam,096
BULGARIA,0.051100000000000007,BGR,Bulgaria,100
BURKINA FASO,0.7125,BFA,Burkina Faso,854
BURMA,0.6419,MMR,Myanmar,104
BURUNDI,0.6923,BDI,Burundi,108
CABO VERDE,0.5387,CPV,Cabo Verde,132
CAMBODIA,0.3071,KHM,Cambodia,116
CAMEROON,0.6054999999999999,CMR,Cameroon,120
CANADA,0.531,CAN,Canada,124
CENTRAL AFRICAN REPUBLIC,0.426,CAF,Central African Republic,140
CHAD,0.6163000000000001,TCD,Chad,148
CHILE,0.1638,CHL,Chile,152
CHINA,0.2021,CHN,China,156
COLOMBIA,0.3284,COL,Colombia,170
COMOROS,0.3019,COM,Comoros,174
"CONGO, DEMOCRATIC REPUBLIC OF THE",0.6336999999999999,COD,DR Congo,180
"CONGO, REPUBLIC OF THE",0.6475,COG,Congo Republic,178
COSTA RICA,0.16140000000000002,CRI,Costa Rica,188
COTE D`IVOIRE,0.3679,CIV,Côte d'Ivoire,384
CROATIA,0.1475,HRV,Croatia,191
CUBA,0.7086,CUB,Cuba,192
CYPRUS,0.0255,CYP,Cyprus,196
CZECH REPUBLIC,0.0866,CZE,Czechia,203
DENMARK,0.1259,DNK,Denmark,208
DJIBOUTI,0.6147,DJI,Djibouti,262
DOMINICA,0.4289,DMA,Dominica,212
DOMINICAN REPUBLIC,0.364,DOM,Dominican Republic,214
ECUADOR,0.4224,ECU,Ecuador,218
EGYPT,0.47609999999999997,EGY,Egypt,818
EL SALVADOR,0.5821999999999999,SLV,El Salvador,222
EQUATORIAL GUINEA,0.6862999999999999,GNQ,Equatorial Guinea,226
ERITREA,0.6002000000000001,ERI,Eritrea,232
ESTONIA,0.1133,EST,Estonia,233
ESWATINI,0.5086999999999999,SWZ,Eswatini,748
ETHIOPIA,0.5364,ETH,Ethiopia,231
FEDERATED STATES OF MICRONESIA,1.0,FSM,"Micronesia, Fed. Sts.",583
FIJI,0.3283,FJI,Fiji,242
FINLAND,0.1809,FIN,Finland,246
FRANCE,0.0967,FRA,France,250
GABON,0.44630000000000003,GAB,Gabon,266
"GAMBIA, THE",0.7529,GMB,Gambia,270
GEORGIA,0.4557,GEO,Georgia,268
GERMANY,0.1222,DEU,Germany,276
GHANA,0.6434000000000001,GHA,Ghana,288
GREAT BRITAIN AND NORTHERN IRELAND,0.20440000000000003,GBR,United Kingdom,826
GREECE,0.09300000000000001,GRC,Greece,300
GRENADA,0.43729999999999997,GRD,Grenada,308
GUATEMALA,0.3921,GTM,Guatemala,320
GUINEA,0.669,GIN,Guinea,324
GUINEA - BISSAU,0.7517,GNB,Guinea-Bissau,624
GUYANA,0.2661,GUY,Guyana,328
HAITI,0.5025999999999999,HTI,Haiti,332
HONDURAS,0.46520000000000006,HND,Honduras,340
HONG KONG S. A. R.,0.07719999999999999,HKG,Hong Kong,344
HUNGARY,0.0791,HUN,Hungary,348
ICELAND,0.054299999999999994,ISL,Iceland,352
INDIA,0.22039999999999998,IND,India,356
INDONESIA,0.2669,IDN,Indonesia,360
IRAN,0.6244,IRN,Iran,364
IRAQ,0.3986,IRQ,Iraq,368
IRELAND,0.25120000000000003,IRL,Ireland,372
ISRAEL,0.11320000000000001,ISR,Israel,376
ITALY,0.1265,ITA,Italy,380
JAMAICA,0.4426,JAM,Jamaica,388
JAPAN,0.056799999999999996,JPN,Japan,392
JORDAN,0.5663,JOR,Jordan,400
KAZAKHSTAN,0.5175,KAZ,Kazakhstan,398
KENYA,0.6823,KEN,Kenya,404
KIRIBATI,0.045,KIR,Kiribati,296
"KOREA, NORTH",0.3333,PRK,North Korea,408
"KOREA, SOUTH",0.2473,KOR,South Korea,410
KOSOVO,0.35,XKX,Kosovo,412
KUWAIT,0.060599999999999994,KWT,Kuwait,414
KYRGYZSTAN,0.5902000000000001,KGZ,Kyrgyzstan,417
LAOS,0.8434999999999999,LAO,Laos,418
LATVIA,0.19,LVA,Latvia,428
LEBANON,0.3942,LBN,Lebanon,422
LESOTHO,0.3824,LSO,Lesotho,426
LIBERIA,0.7301000000000001,LBR,Liberia,430
LIBYA,0.3178,LBY,Libya,434
LIECHTENSTEIN,0.0,LIE,Liechtenstein,438
LITHUANIA,0.2132,LTU,Lithuania,440
LUXEMBOURG,0.1377,LUX,Luxembourg,442
MACAU S.A.R.,0.1313,MAC,Macau,446
MADAGASCAR,0.1723,MDG,Madagascar,450
MALAWI,0.5342,MWI,Malawi,454
MALAYSIA,0.07919999999999999,MYS,Malaysia,458
MALDIVES,0.106,MDV,Maldives,462
MALI,0.5557,MLI,Mali,466
MALTA,0.10300000000000001,MLT,Malta,470
"MARSHALL ISLANDS, REPUBLIC OF THE",0.35710000000000003,MHL,Marshall Islands,584
MAURITANIA,0.6761,MRT,Mauritania,478
